NAME,all,Mtn_Eq_Pop_B,VRA_B,Contgty_B,Drw_Cmp_Dis_B,Flw_Pol_Bnds_B,Prsv_Com_B,Prhbt_Fav_B,Cmptv_Dis_B,Links
Alabama,yes,yes,yes,yes,yes,yes,yes,yes,no,http://www.legislature.state.al.us/aliswww/reapportionment/Reapportionment%20Guidelines%20for%20Redistricting.pdf
Alaska,yes,yes,yes,one district ,one district ,one district ,one district ,one district ,one district ,http://www.legis.state.ak.us/basis/folioproxy.asp?url=http://wwwjnu01.legis.state.ak.us/cgi-bin/folioisa.dll/acontxt/query=*/doc/%7bt102%7d?
Arizona,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://www.azleg.gov/FormatDocument.asp?inDoc=/const/4/1.p2.htm
Arkansas,yes,yes,yes,no,no,no,no,no,no,http://www.arkansasredistricting.org/article-8
California,yes,yes,yes,yes,yes,yes,yes,yes,no,http://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=CONS&division=&title=&part=&chapter=&article=XXI
Colorado,yes,yes,yes,no,no,no,no,no,no,https://www.colorado.gov/pacific/cga-redistrict/constitutional-provisions
Connecticut,yes,yes,yes,no,no,no,no,no,no,https://www.cga.ct.gov/asp/Content/constitutions/CTConstitution.htm
Delaware,yes,yes,yes,one district ,one district ,one district ,one district ,one district ,one district ,http://delcode.delaware.gov/title29/c008/sc01/index.shtml
Florida,yes,yes,yes,yes,yes,yes,no,yes,no,http://www.leg.state.fl.us/statutes/index.cfm?submenu=3#A3S16
Georgia,yes,yes,yes,yes,yes,yes,yes,no,no,https://www.dropbox.com/s/2egd5vpo0djzqt5/GeorgiaHouseCommitteeGuidelines2011-12.pdf
Hawaii,yes,yes,yes,yes,yes,yes,yes,yes,no,http://lrbhawaii.org/con/constitution/CONST%200004-0006.html 
Idaho,yes,yes,yes,yes,yes,yes,yes,yes,no,https://legislature.idaho.gov/statutesrules/idstat/Title72/T72CH15/SECT72-1506/
Illinois,yes,yes,yes,no,no,no,no,no,no,http://www.ilga.gov/commission/lrb/con4.htm
Indiana,yes,yes,yes,no,no,no,no,no,no,https://iga.in.gov/legislative/laws/const/
Iowa,yes,yes,yes,yes,yes,yes,no,yes,no,https://www.legis.iowa.gov/docs/code/2016/42.4.pdf
Kansas,yes,yes,yes,yes,yes,yes,yes,no,no,http://www.kslegislature.org/li_2012/b2011_12/committees/misc/ctte_h_redist_1_20120109_01_other.pdf
Kentucky,yes,yes,yes,yes,no,yes,yes,no,no,http://www.ncsl.org/Portals/1/Documents/Redistricting/KY_Guidelines_1991_20076.pdf
Louisiana,yes,yes,yes,yes,no,yes,no,no,no,http://house.louisiana.gov/h_redistricting2011/2011_H&GA_REAPP%20RULES_ADOPTED.pdf
Maine,yes,yes,yes,yes,yes,yes,no,no,no,http://legislature.maine.gov/ros/LawsOfMaine/#const/
Maryland,yes,yes,yes,no,no,no,no,no,no,https://msa.maryland.gov/msa/mdmanual/43const/html/03art3.html
Massachusetts,yes,yes,yes,yes,yes,yes,yes,yes,no,https://malegislature.gov/laws/constitution#cart101.htm
Michigan,yes,yes,yes,yes,yes,yes,no,no,no,http://www.legislature.mi.gov/(S(bp4hubzvkqmacnlny5vtxs0f))/mileg.aspx?page=GetObject&objectname=mcl-3-63
Minnesota,yes,yes,yes,yes,yes,yes,yes,yes,no,https://www.revisor.mn.gov/constitution/#article_4
Mississippi,yes,yes,yes,yes,yes,yes,no,no,no,https://www.dropbox.com/s/z36sc17c3m1cewv/MississippiLegislativeAndCongressionalRedistrictingCommitteeMinutes2012-04-05.pdf
Missouri,yes,yes,yes,yes,yes,no,no,no,no,http://www.moga.mo.gov/MoStatutes/ConstHTML/A030021.html
Montana,yes,yes,yes,one district ,one district ,one district ,one district ,one district ,one district ,https://leg.mt.gov/content/Committees/Interim/2011-2012/Districting/Other-Documents/1124RWFA-corrected-criteria-updated-2011.pdf
Nebraska,yes,yes,yes,yes,yes,yes,no,yes,no,https://nebraskalegislature.gov/FloorDocs/102/PDF/Intro/LR102.pdf
Nevada,yes,yes,yes,yes,yes,yes,yes,no,no,"
http://www.ncsl.org/Portals/1/Documents/Redistricting/NV_11-OC-00042-1B_2011-09-21_Order_Re-Redistricting_20076.pdf"
